provider_reference,negotiated_rate,billing_code,billing_code_type,negotiation_arrangement,negotiated_type,billing_class
57863,211.430000,0002M,CPT,ffs,negotiated,professional
34214,302.040000,0002M,CPT,ffs,negotiated,professional
14104,211.430000,0002M,CPT,ffs,negotiated,professional
39897,302.040000,0002M,CPT,ffs,negotiated,professional
14248,679.590000,0002M,CPT,ffs,negotiated,professional
42385,211.430000,0002M,CPT,ffs,negotiated,professional
4531,211.430000,0002M,CPT,ffs,negotiated,professional
53674,453.060000,0002M,CPT,ffs,negotiated,professional
28252,211.430000,0002M,CPT,ffs,negotiated,professional
18999,302.040000,0002M,CPT,ffs,negotiated,professional
56509,211.430000,0002M,CPT,ffs,negotiated,professional
17523,302.040000,0002M,CPT,ffs,negotiated,professional
20736,211.430000,0002M,CPT,ffs,negotiated,professional
17147,211.430000,0002M,CPT,ffs,negotiated,professional
38727,302.040000,0002M,CPT,ffs,negotiated,professional
18297,211.430000,0002M,CPT,ffs,negotiated,professional
46160,240.330000,0002M,CPT,ffs,negotiated,professional
50563,211.430000,0002M,CPT,ffs,negotiated,professional
46672,1107.480000,0002M,CPT,ffs,negotiated,professional
32935,211.430000,0002M,CPT,ffs,negotiated,professional
19914,302.040000,0002M,CPT,ffs,negotiated,professional
40563,226.530000,0002M,CPT,ffs,negotiated,professional
17687,211.430000,0002M,CPT,ffs,negotiated,professional
24202,302.040000,0002M,CPT,ffs,negotiated,professional
22985,211.430000,0002M,CPT,ffs,negotiated,professional
2246,302.040000,0002M,CPT,ffs,negotiated,professional
47518,302.040000,0002M,CPT,ffs,negotiated,professional
12638,367.480000,0002M,CPT,ffs,negotiated,professional
23102,251.700000,0002M,CPT,ffs,negotiated,professional
26349,226.530000,0002M,CPT,ffs,negotiated,professional
46145,211.430000,0002M,CPT,ffs,negotiated,professional
42535,503.400000,0002M,CPT,ffs,negotiated,professional
57120,302.040000,0002M,CPT,ffs,negotiated,professional
24838,211.430000,0002M,CPT,ffs,negotiated,professional
37743,211.430000,0002M,CPT,ffs,negotiated,professional
30444,251.700000,0002M,CPT,ffs,negotiated,professional
50359,604.080000,0002M,CPT,ffs,negotiated,professional
59838,211.430000,0002M,CPT,ffs,negotiated,professional
10205,211.430000,0002M,CPT,ffs,negotiated,professional
47585,302.040000,0002M,CPT,ffs,negotiated,professional
58315,211.430000,0002M,CPT,ffs,negotiated,professional
24636,211.430000,0002M,CPT,ffs,negotiated,professional
21657,503.400000,0002M,CPT,ffs,negotiated,professional
10030,1812.490000,0002M,CPT,ffs,negotiated,professional
56430,211.430000,0002M,CPT,ffs,negotiated,professional
56146,211.430000,0002M,CPT,ffs,negotiated,professional
6915,176.190000,0002M,CPT,ffs,negotiated,professional
34935,302.040000,0002M,CPT,ffs,negotiated,professional
56002,302.040000,0002M,CPT,ffs,negotiated,professional
25827,211.430000,0002M,CPT,ffs,negotiated,professional
23180,1006.800000,0002M,CPT,ffs,negotiated,professional
54663,226.530000,0002M,CPT,ffs,negotiated,professional
8428,226.530000,0002M,CPT,ffs,negotiated,professional
46381,503.400000,0002M,CPT,ffs,negotiated,professional
34751,503.400000,0002M,CPT,ffs,negotiated,institutional
41961,211.430000,0002M,CPT,ffs,negotiated,professional
40099,211.430000,0002M,CPT,ffs,negotiated,professional
1691,176.190000,0002M,CPT,ffs,negotiated,professional
12170,503.400000,0002M,CPT,ffs,negotiated,professional
35478,211.430000,0002M,CPT,ffs,negotiated,professional
24462,211.430000,0002M,CPT,ffs,negotiated,professional
4123,302.040000,0002M,CPT,ffs,negotiated,professional
20639,211.430000,0002M,CPT,ffs,negotiated,professional
11645,302.040000,0002M,CPT,ffs,negotiated,professional
30726,654.420000,0002M,CPT,ffs,negotiated,professional
31755,251.700000,0002M,CPT,ffs,negotiated,professional
48078,211.430000,0002M,CPT,ffs,negotiated,professional
19903,302.040000,0002M,CPT,ffs,negotiated,professional
39903,302.040000,0002M,CPT,ffs,negotiated,professional
23880,211.430000,0002M,CPT,ffs,negotiated,professional
50784,302.040000,0002M,CPT,ffs,negotiated,professional
10278,251.700000,0002M,CPT,ffs,negotiated,professional
52368,211.430000,0002M,CPT,ffs,negotiated,professional
10764,276.870000,0002M,CPT,ffs,negotiated,professional
13935,302.040000,0002M,CPT,ffs,negotiated,professional
4709,578.910000,0002M,CPT,ffs,negotiated,professional
44041,503.400000,0002M,CPT,ffs,negotiated,professional
29603,320.400000,0002M,CPT,ffs,negotiated,professional
26839,302.040000,0002M,CPT,ffs,negotiated,professional
21907,211.430000,0002M,CPT,ffs,negotiated,professional
25582,211.430000,0002M,CPT,ffs,negotiated,professional
31012,704.760000,0002M,CPT,ffs,negotiated,professional
25980,211.430000,0002M,CPT,ffs,negotiated,professional
56938,211.430000,0002M,CPT,ffs,negotiated,professional
56020,503.400000,0002M,CPT,ffs,negotiated,professional
34886,302.040000,0002M,CPT,ffs,negotiated,professional
42343,302.040000,0002M,CPT,ffs,negotiated,professional
54312,302.040000,0002M,CPT,ffs,negotiated,professional
58043,910.150000,0002M,CPT,ffs,negotiated,professional
1409,550.370000,0002M,CPT,ffs,negotiated,professional
5334,211.430000,0002M,CPT,ffs,negotiated,professional
33048,302.040000,0002M,CPT,ffs,negotiated,professional
37324,211.430000,0002M,CPT,ffs,negotiated,professional
20047,211.430000,0002M,CPT,ffs,negotiated,professional
34803,503.400000,0002M,CPT,ffs,negotiated,professional
15325,604.080000,0002M,CPT,ffs,negotiated,professional
13415,503.400000,0002M,CPT,ffs,negotiated,professional
11613,251.700000,0002M,CPT,ffs,negotiated,professional
6336,302.040000,0002M,CPT,ffs,negotiated,professional
13799,211.430000,0002M,CPT,ffs,negotiated,professional
52888,226.530000,0002M,CPT,ffs,negotiated,professional
60861,176.190000,0002M,CPT,ffs,negotiated,professional
53122,211.430000,0002M,CPT,ffs,negotiated,professional
28403,211.430000,0002M,CPT,ffs,negotiated,professional
1623,211.430000,0002M,CPT,ffs,negotiated,professional
31821,277.880000,0002M,CPT,ffs,negotiated,professional
47000,176.190000,0002M,CPT,ffs,negotiated,professional
40439,302.040000,0002M,CPT,ffs,negotiated,professional
17917,211.430000,0002M,CPT,ffs,negotiated,professional
20324,302.040000,0002M,CPT,ffs,negotiated,professional
41330,402.720000,0002M,CPT,ffs,negotiated,professional
52469,211.430000,0002M,CPT,ffs,negotiated,professional
18552,302.040000,0002M,CPT,ffs,negotiated,professional
29583,226.530000,0002M,CPT,ffs,negotiated,professional
27702,211.430000,0002M,CPT,ffs,negotiated,professional
58977,302.040000,0002M,CPT,ffs,negotiated,professional
58070,704.760000,0002M,CPT,ffs,negotiated,professional
43111,211.430000,0002M,CPT,ffs,negotiated,professional
4717,211.430000,0002M,CPT,ffs,negotiated,professional
17810,302.040000,0002M,CPT,ffs,negotiated,professional
3347,251.700000,0002M,CPT,ffs,negotiated,professional
3197,211.430000,0002M,CPT,ffs,negotiated,professional
39015,211.430000,0002M,CPT,ffs,negotiated,professional
15826,211.430000,0002M,CPT,ffs,negotiated,professional
8122,211.430000,0002M,CPT,ffs,negotiated,professional
35530,211.430000,0002M,CPT,ffs,negotiated,professional
16861,211.430000,0002M,CPT,ffs,negotiated,professional
18853,503.400000,0002M,CPT,ffs,negotiated,professional
18957,211.430000,0002M,CPT,ffs,negotiated,professional
40519,211.430000,0002M,CPT,ffs,negotiated,professional
59475,211.430000,0002M,CPT,ffs,negotiated,professional
30525,211.430000,0002M,CPT,ffs,negotiated,professional
20817,211.430000,0002M,CPT,ffs,negotiated,professional
46690,256.730000,0002M,CPT,ffs,negotiated,professional
44515,211.430000,0002M,CPT,ffs,negotiated,professional
17435,211.430000,0002M,CPT,ffs,negotiated,professional
52047,302.040000,0002M,CPT,ffs,negotiated,professional
3052,302.040000,0002M,CPT,ffs,negotiated,professional
58657,302.040000,0002M,CPT,ffs,negotiated,professional
35837,503.400000,0002M,CPT,ffs,negotiated,professional
52913,211.430000,0002M,CPT,ffs,negotiated,professional
6270,211.430000,0002M,CPT,ffs,negotiated,professional
45613,211.430000,0002M,CPT,ffs,negotiated,professional
3329,503.400000,0002M,CPT,ffs,negotiated,professional
18476,302.040000,0002M,CPT,ffs,negotiated,professional
42531,302.040000,0002M,CPT,ffs,negotiated,professional
237,211.430000,0002M,CPT,ffs,negotiated,professional
20753,251.700000,0002M,CPT,ffs,negotiated,professional
12361,211.430000,0002M,CPT,ffs,negotiated,professional
